ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
0.833180,0.057460,-9.318230,0.371777,0.178964,-0.602940,48.527000,119.141000,-161.969000,0.010000
0.876280,-0.095770,-9.169790,0.363255,0.045806,-0.635963,48.527000,119.141000,-161.969000,0.010000
0.857120,-0.138860,-9.418790,0.333428,0.056459,-0.677508,48.527000,119.141000,-161.969000,0.010000
0.905010,-0.239420,-9.394850,0.337689,-0.038350,-0.657268,48.527000,119.141000,-161.969000,0.010000
0.866700,-0.071830,-9.404420,0.265251,0.003196,-0.640224,48.527000,119.141000,-161.969000,0.010000
0.818820,0.028730,-9.337390,0.304666,0.079895,-0.625310,48.527000,119.141000,-161.969000,0.010000
0.612920,0.158020,-9.356540,0.367516,0.214118,-0.676443,48.527000,119.141000,-161.969000,0.010000
0.579400,0.023940,-9.241620,0.368582,0.165116,-0.676443,48.527000,119.141000,-161.969000,0.010000
0.675160,0.191540,-9.351750,0.347276,0.176834,-0.676443,48.527000,119.141000,-161.969000,0.010000
0.699110,-0.134080,-9.294290,0.420779,0.136354,-0.674312,48.527000,119.141000,-161.969000,0.010000
0.512360,-0.033520,-9.442730,0.427171,0.024501,-0.651942,48.527000,119.141000,-161.969000,0.010000
0.574610,-0.071830,-9.404420,0.406931,0.011718,-0.608266,48.527000,119.141000,-161.969000,0.010000
0.521940,0.172380,-9.552870,0.435693,-0.009587,-0.575243,48.527000,119.141000,-161.969000,0.010000
0.579400,0.014370,-9.380480,0.435693,0.036219,-0.562460,42.609000,117.949000,-161.969000,0.010000
0.584190,0.129290,-9.222460,0.476173,0.093743,-0.546481,42.609000,117.949000,-161.969000,0.010000
0.550670,0.268150,-9.064450,0.496413,0.088417,-0.535828,42.609000,117.949000,-161.969000,0.010000
0.593760,0.004790,-9.260770,0.508131,0.080960,-0.536893,42.609000,117.949000,-161.969000,0.010000
0.761360,0.186750,-9.265560,0.493217,0.080960,-0.502805,42.609000,117.949000,-161.969000,0.010000
0.967260,0.028730,-9.404420,0.467651,0.047937,-0.487891,42.609000,117.949000,-161.969000,0.010000
0.833180,-0.033520,-9.313440,0.454868,0.011718,-0.492152,42.609000,117.949000,-161.969000,0.010000
0.588970,0.210690,-9.208100,0.458064,-0.010653,-0.516653,42.609000,117.949000,-161.969000,0.010000
0.732630,0.143650,-9.222460,0.512392,0.030893,-0.539024,42.609000,117.949000,-161.969000,0.010000
0.512360,0.335190,-9.327810,0.481500,0.019175,-0.557133,42.609000,117.949000,-161.969000,0.010000
0.545880,-0.100560,-9.394850,0.401605,-0.009587,-0.529436,42.609000,117.949000,-161.969000,0.010000
0.890640,-0.028730,-9.035720,0.333428,-0.055394,-0.532632,42.609000,117.949000,-161.969000,0.010000
0.521940,1.680730,-8.858550,0.246076,-0.091613,-0.423975,40.242000,117.949000,-161.969000,0.010000
1.043870,-0.148440,-9.255980,0.190682,-0.058590,-0.503870,40.242000,117.949000,-161.969000,0.010000
0.948100,0.105340,-9.088390,0.165116,-0.168312,-0.506001,40.242000,117.949000,-161.969000,0.010000
0.833180,0.440530,-9.117120,0.156594,-0.189617,-0.483630,40.242000,117.949000,-161.969000,0.010000
0.924160,-0.426170,-9.911990,0.102265,-0.193878,-0.490022,40.242000,117.949000,-161.969000,0.010000
0.675160,0.359130,-8.944740,0.068177,-0.254598,-0.485761,40.242000,117.949000,-161.969000,0.010000
0.823610,0.196320,-9.184160,-0.008522,-0.238619,-0.493217,40.242000,117.949000,-161.969000,0.010000
1.484410,-0.114920,-9.854530,-0.197074,-0.189617,-0.507066,40.242000,117.949000,-161.969000,0.010000
1.067810,0.234630,-8.868120,-0.324906,-0.169377,-0.550742,40.242000,117.949000,-161.969000,0.010000
1.120490,-0.033520,-8.695740,-0.431432,-0.096939,-0.572047,40.242000,117.949000,-161.969000,0.010000
1.302450,0.023940,-8.848970,-0.471912,-0.004261,-0.585895,40.242000,117.949000,-161.969000,0.010000
1.254560,-0.526720,-9.112330,-0.423975,0.031958,-0.641289,40.242000,117.949000,-161.969000,0.010000
1.010350,-0.368710,-9.303870,-0.378169,-0.036219,-0.664725,40.242000,117.949000,-161.969000,0.010000
1.015140,-0.531510,-9.150640,-0.165116,-0.181095,-0.702009,39.059000,115.566000,-161.969000,0.010000
0.938530,-0.301670,-9.308660,-0.023436,-0.257794,-0.743555,39.059000,115.566000,-161.969000,0.010000
0.699110,-0.138860,-9.327810,0.104396,-0.243946,-0.785100,39.059000,115.566000,-161.969000,0.010000
0.794870,-0.258570,-9.390060,0.263120,-0.319579,-0.776578,39.059000,115.566000,-161.969000,0.010000
0.742200,-0.287300,-9.859320,0.358994,-0.274838,-0.808536,39.059000,115.566000,-161.969000,0.010000
